activating emitter
42.024 40.9434 40.2573 
41.9211 40.8233 40.223 
41.6295 40.4974 39.7942 
41.9726 40.9263 38.765 
42.4357 41.3894 40.7376 
42.2985 41.1321 40.5317 
42.7959 41.7667 41.1321 
42.4871 41.7667 41.1149 
43.1561 42.4871 42.2127 
42.6072 41.9554 41.3551 
43.3448 42.2642 41.6638 
43.2933 42.2127 41.5094 
41.6295 40.6347 39.9486 
47.3585 46.6381 45.9348 
48.3534 47.3242 47.0326 
48.9022 48.2504 47.6329 
49.2624 48.2333 48.0103 
49.2967 48.2504 47.9588 
49.3997 47.8902 48.0618 
48.0789 47.0326 46.7753 
49.6227 48.5935 48.3019 
48.8851 47.7873 47.7016 
49.0052 47.5815 47.3242 
48.3877 47.7873 47.0841 
48.3877 47.7359 47.0841 
48.9022 47.7359 47.5472 
49.5197 47.1698 48.1132 
49.8456 48.765 48.542 
45.0257 44.0137 43.2933 
48.542 47.5643 47.2727 
43.036 41.904 41.5952 
43.4305 42.7444 42.0755 
43.0532 42.3671 41.8182 
43.0189 41.9554 41.3722 
42.5043 41.8696 41.2007 
42.9503 41.904 41.2865 
42.1269 41.4923 40.7719 
43.5678 42.5729 41.681 
41.9726 40.9949 40.669 
42.5901 41.5952 41.2865 
41.
